date,y,wday,is_holiday,res_wday
2010-01-01,348324,6,1,-601640.754716981
2010-01-10,372942,1,0,-68006.5192307693
2010-01-11,983964,2,0,63157.9423076923
2010-01-12,1012053,3,0,27746.2115384615
2010-01-13,1031317,4,0,44169.4807692308
2010-01-14,1036398,5,0,68888.0384615385
2010-01-15,1043125,6,0,93160.2452830189
2010-01-16,616904,7,0,779.538461538497
2010-01-17,437665,1,0,-3283.51923076925
2010-01-18,672311,2,0,-248495.057692308
2010-01-19,1083689,3,1,99382.2115384615
2010-01-02,484655,7,0,-131469.461538462
2010-01-20,1069450,4,0,82302.4807692308
2010-01-21,1037561,5,0,70051.0384615385
2010-01-22,1061872,6,0,111907.245283019
2010-01-23,636107,7,0,19982.5384615385
2010-01-24,416766,1,0,-24182.5192307693
2010-01-25,1039778,2,0,118971.942307692
2010-01-26,1037134,3,0,52827.2115384615
2010-01-27,1022417,4,0,35269.4807692308
2010-01-28,1002952,5,0,35442.0384615385
2010-01-29,918474,6,0,-31490.7547169811
2010-01-03,354762,1,0,-86186.5192307693
2010-01-30,636005,7,0,19880.5384615385
2010-01-31,437345,1,0,-3603.51923076925
2010-01-04,938766,2,0,17959.9423076923
2010-01-05,970860,3,0,-13446.7884615385
2010-01-06,980962,4,0,-6185.51923076925
2010-01-07,901941,5,0,-65568.9615384615
2010-01-08,937662,6,0,-12302.7547169811
2010-01-09,550886,7,0,-65238.4615384615
2010-10-01,1095244,6,0,145279.245283019
2010-10-10,453193,1,0,12244.4807692308
2010-10-11,824834,2,1,-95972.0576923078
2010-10-12,1068010,3,0,83703.2115384615
2010-10-13,1024910,4,0,37762.4807692308
2010-10-14,1060257,5,0,92747.0384615385
2010-10-15,1067602,6,0,117637.245283019
2010-10-16,674323,7,0,58198.5384615385
2010-10-17,470817,1,0,29868.4807692308
2010-10-18,1038903,2,0,118096.942307692
2010-10-19,1057820,3,0,73513.2115384615
2010-10-02,620784,7,0,4659.5384615385
2010-10-20,1061125,4,0,73977.4807692308
2010-10-21,1053153,5,0,85643.0384615385
2010-10-22,987323,6,0,37358.2452830189
2010-10-23,624770,7,0,8645.5384615385
2010-10-24,443462,1,0,2513.48076923075
2010-10-25,1030602,2,0,109795.942307692
2010-10-26,948119,3,0,-36187.7884615385
2010-10-27,1051715,4,0,64567.4807692308
2010-10-28,1023047,5,0,55537.0384615385
2010-10-29,1027443,6,0,77478.2452830189
2010-10-03,451850,1,0,10901.4807692308
2010-10-30,653147,7,0,37022.5384615385
2010-10-31,451532,1,0,10583.4807692308
2010-10-04,1049060,2,0,128253.942307692
2010-10-05,1062843,3,0,78536.2115384615
2010-10-06,1057375,4,0,70227.4807692308
2010-10-07,1048120,5,0,80610.0384615385
2010-10-08,1060557,6,0,110592.245283019
2010-10-09,683056,7,0,66931.5384615385
2010-11-01,1050239,2,0,129432.942307692
2010-11-10,1065459,4,0,78311.4807692308
2010-11-11,882944,5,1,-84565.9615384615
2010-11-12,951645,6,0,1680.24528301891
2010-11-13,600900,7,0,-15224.4615384615
2010-11-14,483592,1,0,42643.4807692308
2010-11-15,1013081,2,0,92274.9423076923
2010-11-16,1041704,3,0,57397.2115384615
2010-11-17,1033004,4,0,45856.4807692308
2010-11-18,984043,5,0,16533.0384615385
2010-11-19,1038686,6,0,88721.2452830189
2010-11-02,1053066,3,0,68759.2115384615
2010-11-20,640618,7,0,24493.5384615385
2010-11-21,437682,1,0,-3266.51923076925
2010-11-22,957125,2,0,36318.9423076923
2010-11-23,1006493,3,0,22186.2115384615
2010-11-24,898974,4,1,-88173.5192307693
2010-11-25,312756,5,1,-654753.961538462
2010-11-26,557867,6,0,-392097.754716981
2010-11-27,517892,7,0,-98232.4615384615
2010-11-28,401514,1,0,-39434.5192307693
2010-11-29,974393,2,0,53586.9423076923
2010-11-03,1067432,4,0,80284.4807692308
2010-11-30,970873,3,0,-13433.7884615385
2010-11-04,1036639,5,0,69129.0384615385
2010-11-05,1034503,6,0,84538.2452830189
2010-11-06,641520,7,0,25395.5384615385
2010-11-07,453831,1,0,12882.4807692308
2010-11-08,1046515,2,0,125708.942307692
2010-11-09,1058688,3,0,74381.2115384615
2010-12-01,999878,4,0,12730.4807692308
2010-12-10,986800,6,0,36835.2452830189
2010-12-11,573203,7,0,-42921.4615384615
2010-12-12,330377,1,0,-110571.519230769
2010-12-13,829736,2,0,-91070.0576923077
2010-12-14,888812,3,0,-95494.7884615385
2010-12-15,922552,4,0,-64595.5192307693
2010-12-16,919713,5,0,-47796.9615384615
2010-12-17,932601,6,0,-17363.7547169811
2010-12-18,570331,7,0,-45793.4615384615
